Trust_Code,Trust_Name,Region,Specialty,Reporting_Month,Patients_Waiting,Number_Waiting_Over_18_Weeks,RTT_18wk_Standard_Met,Median_Wait_Weeks,Number_Waiting_Over_52_Weeks
RXH,Sherbourne Nhs Foundation Trust,North East,Ophthalmology,01/08/2023,4607,1533,No,12.3,224
RXF,Harborview Nhs Foundation Trust,South West,Cardiology,01/05/2024,2190,1022,No,14,97
RXF,Harborview Nhs Foundation Trust,South West,Cardiology,01/08/2024,2469,749,No,18.2,27
RXF,Harborview Nhs Foundation Trust,South West,Cardiology,01/12/2024,2186,613,No,18.9,17
RXD,Kingswood Nhs Foundation Trust,South East,ENT,01/12/2023,5526,1582,No,15.5,76
RXD,Kingswood Nhs Foundation Trust,South East,ENT,01/08/2023,6004,1309,No,11.2,141
RXB,Eastfield General Hospitals Trust,East Of England,General Surgery,01/02/2023,1480,449,No,11.9,77
RXB,Eastfield General Hospitals Trust,East Of England,General Surgery,01/08/2023,1585,288,No,14,4
RXE,Vale Of Aldern Nhs Trust,West Midlands,T&O,01/12/2024,6314,1884,No,12.9,324
RXE,Vale Of Aldern Nhs Trust,West Midlands,T&O,01/02/2024,5804,2520,No,18.2,484
RXD,Kingswood Nhs Foundation Trust,South East,T&O,01/04/2023,5342,2325,No,10.7,224
RXD,Kingswood Nhs Foundation Trust,South East,T&O,01/01/2024,5415,1144,No,15.6,236
RXF,Harborview Nhs Foundation Trust,South West,Ophthalmology,01/09/2023,2954,1179,No,19.8,137
RXF,Harborview Nhs Foundation Trust,South West,Ophthalmology,01/10/2024,2590,796,No,12.8,30
RXB,Eastfield General Hospitals Trust,East Of England,Cardiology,01/05/2024,1251,505,No,14.6,32
RXB,Eastfield General Hospitals Trust,East Of England,Cardiology,01/01/2023,1241,462,No,13.7,93
RXB,Eastfield General Hospitals Trust,East Of England,Cardiology,01/03/2023,1241,347,No,12.4,27
RXA,Northgate Nhs Foundation Trust,North West,ENT,01/11/2024,4420,1595,No,11.5,150
RXA,Northgate Nhs Foundation Trust,North West,ENT,01/03/2023,4113,902,No,9.1,67
RXA,Northgate Nhs Foundation Trust,North West,ENT,01/10/2024,4553,1288,No,18.3,87
RXE,Vale Of Aldern Nhs Trust,West Midlands,General Surgery,01/03/2024,2770,787,No,13,75
RXA,Northgate Nhs Foundation Trust,North West,Urology,01/09/2024,892,241,No,14,27
RXA,Northgate Nhs Foundation Trust,North West,Urology,01/01/2023,710,264,No,9.3,20
RXA,Northgate Nhs Foundation Trust,North West,Urology,01/02/2023,1057,514,No,13.6,91
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/02/2023,3798,1449,No,11.1,124
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/11/2024,4050,1567,No,14,234
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/10/2023,3767,1688,No,12.4,270
RXE,Vale Of Aldern Nhs Trust,West Midlands,Cardiology,01/06/2024,4091,879,No,17.8,83
RXE,Vale Of Aldern Nhs Trust,West Midlands,Cardiology,01/03/2023,4091,977,No,16.7,115
RXE,Vale Of Aldern Nhs Trust,West Midlands,Cardiology,01/11/2024,4157,813,No,17.6,66
RXE,Vale Of Aldern Nhs Trust,West Midlands,Gastroenterology,01/07/2024,4297,1399,No,11.9,88
RXE,Vale Of Aldern Nhs Trust,West Midlands,Gastroenterology,01/08/2024,3935,1109,No,13.7,78
RXD,Kingswood Nhs Foundation Trust,South East,Urology,01/08/2024,2140,723,No,13.3,98
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/05/2023,2199,970,No,20.5,23
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/07/2023,2483,842,No,2.7,97
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/06/2023,2246,606,No,15.5,85
RXA,Northgate Nhs Foundation Trust,North West,Ophthalmology,01/02/2024,4052,1141,No,13.9,133
RXF,Harborview Nhs Foundation Trust,South West,T&O,01/03/2023,4822,2309,No,13.3,98
RXF,Harborview Nhs Foundation Trust,South West,ENT,01/08/2024,4799,2146,No,19.3,272
RXH,Sherbourne Nhs Foundation Trust,North East,General Surgery,01/08/2023,1064,343,No,13.9,64
RXH,Sherbourne Nhs Foundation Trust,North East,General Surgery,01/03/2024,1178,223,No,10.6,9
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Urology,01/09/2023,2797,1411,No,16.6,90
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Urology,01/06/2024,2918,1061,No,19.4,217
RXE,Vale Of Aldern Nhs Trust,West Midlands,Ophthalmology,01/08/2023,2309,972,No,19.8,112
RXE,Vale Of Aldern Nhs Trust,West Midlands,Ophthalmology,01/10/2023,2451,622,No,11.8,93
RXD,Kingswood Nhs Foundation Trust,South East,General Surgery,01/12/2023,6143,1351,No,17.7,229
RXD,Kingswood Nhs Foundation Trust,South East,General Surgery,01/10/2024,5782,2193,No,15.9,232
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/08/2023,3038,828,No,11.9,139
RXE,Vale Of Aldern Nhs Trust,West Midlands,ENT,01/05/2023,2979,1514,No,15.5,80
RXF,Harborview Nhs Foundation Trust,South West,Urology,01/01/2024,3542,1255,No,15.7,197
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Gastroenterology,01/12/2024,2851,633,No,17,85
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,T&O,01/07/2023,4018,1013,No,12,65
RXC,Riverside University Hospitals Trust,London,Urology,01/03/2023,5823,2833,No,12.7,196
RXC,Riverside University Hospitals Trust,London,Urology,01/07/2024,6195,3334,No,12,402
RXF,Harborview Nhs Foundation Trust,South West,Dermatology,01/03/2023,2793,887,No,11.2,112
RXA,Northgate Nhs Foundation Trust,North West,General Surgery,01/05/2024,1500,706,No,12.1,136
RXH,Sherbourne Nhs Foundation Trust,North East,ENT,01/01/2024,5551,1868,No,12.8,240
RXD,Kingswood Nhs Foundation Trust,South East,Gastroenterology,01/11/2023,2416,572,No,13.8,151
RXB,Eastfield General Hospitals Trust,East Of England,Urology,01/02/2024,4796,2086,No,13.9,359
RXF,Harborview Nhs Foundation Trust,South West,Gastroenterology,01/09/2024,5977,2191,No,14.9,267
RXA,Northgate Nhs Foundation Trust,North West,Cardiology,01/08/2023,5648,999,No,12,206
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Ophthalmology,01/02/2024,5507,1830,No,18.1,97
RXC,Riverside University Hospitals Trust,London,Cardiology,01/01/2024,6282,1215,No,20.5,129
RXA,Northgate Nhs Foundation Trust,North West,Dermatology,01/06/2024,2472,1040,No,15.4,262
RXA,Northgate Nhs Foundation Trust,North West,T&O,01/08/2023,2945,1443,No,10.3,51
RXC,Riverside University Hospitals Trust,London,Urology,01/03/2024,5971,2275,No,15.5,211
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,T&O,01/04/2023,4267,1465,No,10.7,34
RXF,Harborview Nhs Foundation Trust,South West,Ophthalmology,01/11/2024,2577,565,No,17.4,13
RXE,Vale Of Aldern Nhs Trust,West Midlands,ENT,01/02/2024,3299,1139,No,14.9,79
RXD,Kingswood Nhs Foundation Trust,South East,Urology,01/02/2023,1798,793,No,11.3,88
RXA,Northgate Nhs Foundation Trust,North West,Ophthalmology,01/12/2023,4146,1929,No,16.3,176
RXE,Vale Of Aldern Nhs Trust,West Midlands,ENT,01/09/2023,2933,1050,No,15.2,83
RXD,Kingswood Nhs Foundation Trust,South East,ENT,01/09/2023,5711,2705,No,13,250
RXC,Riverside University Hospitals Trust,London,T&O,01/10/2024,4737,1691,No,14.6,320
RXH,Sherbourne Nhs Foundation Trust,North East,Gastroenterology,01/08/2024,1733,531,No,8.6,88
RXF,Harborview Nhs Foundation Trust,South West,Urology,01/09/2023,3472,1396,No,4.5,65
RXH,Sherbourne Nhs Foundation Trust,North East,Ophthalmology,01/08/2024,4370,1503,No,13.8,298
RXE,Vale Of Aldern Nhs Trust,West Midlands,Ophthalmology,01/08/2024,2703,990,No,20.8,86
RXD,Kingswood Nhs Foundation Trust,South East,T&O,01/12/2024,5652,2193,No,13.9,367
RXH,Sherbourne Nhs Foundation Trust,North East,General Surgery,01/03/2023,1109,475,No,13,9
RXB,Eastfield General Hospitals Trust,East Of England,Ophthalmology,01/01/2023,1675,916,No,16.8,98
RXH,Sherbourne Nhs Foundation Trust,North East,Gastroenterology,01/06/2023,1630,580,No,13.6,52
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/06/2024,4986,2281,No,7.3,254
RXB,Eastfield General Hospitals Trust,East Of England,ENT,01/12/2024,4986,2110,No,15.6,242
RXB,Eastfield General Hospitals Trust,East Of England,General Surgery,01/01/2024,1325,395,No,14,33
RXE,Vale Of Aldern Nhs Trust,West Midlands,General Surgery,01/08/2024,2981,670,No,11,111
RXE,Vale Of Aldern Nhs Trust,West Midlands,ENT,01/10/2023,3220,532,No,14.1,93
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Urology,01/07/2024,3246,1250,No,14.1,223
RXE,Vale Of Aldern Nhs Trust,West Midlands,Cardiology,01/05/2024,4501,1927,No,14.4,139
RXF,Harborview Nhs Foundation Trust,South West,ENT,01/11/2023,4856,1914,No,5.9,344
RXD,Kingswood Nhs Foundation Trust,South East,Cardiology,01/06/2023,2427,730,No,8.1,75
RXA,Northgate Nhs Foundation Trust,North West,ENT,01/02/2024,4267,1357,No,16.4,146
RXE,Vale Of Aldern Nhs Trust,West Midlands,T&O,01/10/2024,6288,1506,No,18.4,192
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/09/2023,1380,551,No,12.7,67
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/07/2024,3971,1102,No,17.6,74
RXB,Eastfield General Hospitals Trust,East Of England,Urology,01/06/2024,4659,1703,No,12.2,238
RXC,Riverside University Hospitals Trust,London,Dermatology,01/07/2024,3768,1805,No,9.9,362
RXF,Harborview Nhs Foundation Trust,South West,Urology,01/01/2023,3808,916,No,15.9,95
RXD,Kingswood Nhs Foundation Trust,South East,General Surgery,01/10/2023,5761,2135,No,10.3,265
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/04/2024,5067,1121,No,14.6,141
RXE,Vale Of Aldern Nhs Trust,West Midlands,Urology,01/07/2023,2847,1313,No,12.5,176
RXE,Vale Of Aldern Nhs Trust,West Midlands,Urology,01/12/2023,2760,709,No,12.3,130
RXD,Kingswood Nhs Foundation Trust,South East,T&O,01/03/2023,4992,1550,No,12.6,322
RXE,Vale Of Aldern Nhs Trust,West Midlands,T&O,01/04/2024,5990,2770,No,13.7,453
RXF,Harborview Nhs Foundation Trust,South West,General Surgery,01/04/2024,5406,1128,No,15.3,141
RXB,Eastfield General Hospitals Trust,East Of England,General Surgery,01/06/2023,1199,505,No,14.5,62
RXA,Northgate Nhs Foundation Trust,North West,General Surgery,01/05/2023,1650,764,No,12.5,86
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/05/2023,911,379,No,5.6,102
RXD,Kingswood Nhs Foundation Trust,South East,Dermatology,01/11/2023,2410,1028,No,7.1,136
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Ophthalmology,01/04/2024,5694,2207,No,7.9,442
RXF,Harborview Nhs Foundation Trust,South West,Dermatology,01/11/2024,2790,1064,No,9.4,115
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/11/2023,4830,2392,No,15.6,270
RXH,Sherbourne Nhs Foundation Trust,North East,ENT,01/10/2023,5461,808,No,13.1,123
RXF,Harborview Nhs Foundation Trust,South West,Urology,01/03/2023,3576,1767,No,6.2,157
RXE,Vale Of Aldern Nhs Trust,West Midlands,Ophthalmology,01/07/2023,2487,382,No,14.6,32
RXE,Vale Of Aldern Nhs Trust,West Midlands,ENT,01/01/2023,3176,395,No,10.3,19
RXB,Eastfield General Hospitals Trust,East Of England,Cardiology,01/04/2024,1423,397,No,15.5,46
RXF,Harborview Nhs Foundation Trust,South West,Cardiology,01/06/2023,2212,763,No,18,71
RXF,Harborview Nhs Foundation Trust,South West,Gastroenterology,01/04/2023,6177,2261,No,11.4,436
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,General Surgery,01/03/2024,2174,616,No,17.9,100
RXC,Riverside University Hospitals Trust,London,T&O,01/04/2023,4531,1477,No,14.1,144
RXH,Sherbourne Nhs Foundation Trust,North East,General Surgery,01/04/2023,893,295,No,13,28
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/04/2023,1156,427,No,10.7,77
RXD,Kingswood Nhs Foundation Trust,South East,General Surgery,01/09/2023,5678,1939,No,11.2,64
RXE,Vale Of Aldern Nhs Trust,West Midlands,Gastroenterology,01/05/2023,4156,1415,No,13.9,172
RXE,Vale Of Aldern Nhs Trust,West Midlands,General Surgery,01/02/2024,3004,1720,No,17.3,207
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/05/2024,5057,1430,No,10.6,160
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/08/2023,1037,233,No,17,20
RXE,Vale Of Aldern Nhs Trust,West Midlands,ENT,01/06/2024,3374,981,No,14.3,167
RXD,Kingswood Nhs Foundation Trust,South East,Ophthalmology,01/09/2023,1580,670,No,14,104
RXC,Riverside University Hospitals Trust,London,Ophthalmology,01/08/2024,2825,1060,No,16,193
RXB,Eastfield General Hospitals Trust,East Of England,T&O,01/02/2024,1144,457,No,13.1,102
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/02/2024,4240,2153,No,12.4,101
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,T&O,01/09/2024,3972,836,No,15,70
RXF,Harborview Nhs Foundation Trust,South West,Dermatology,01/08/2023,2875,640,No,12.1,89
RXD,Kingswood Nhs Foundation Trust,South East,Ophthalmology,01/12/2024,1758,693,No,18.4,126
RXH,Sherbourne Nhs Foundation Trust,North East,Dermatology,01/12/2023,3252,1508,No,8.9,105
RXA,Northgate Nhs Foundation Trust,North West,Cardiology,01/04/2023,5798,1549,No,17.1,157
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,General Surgery,01/01/2023,2111,879,No,7.7,135
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Urology,01/03/2024,2699,1453,No,13.8,162
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/09/2024,2362,824,No,12.7,208
RXH,Sherbourne Nhs Foundation Trust,North East,Dermatology,01/02/2023,3398,1304,No,15.8,110
RXC,Riverside University Hospitals Trust,London,Dermatology,01/06/2023,3635,1355,No,14.3,282
RXE,Vale Of Aldern Nhs Trust,West Midlands,Gastroenterology,01/12/2023,4256,2029,No,14.1,124
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Urology,01/11/2024,3037,1152,No,16.1,119
RXA,Northgate Nhs Foundation Trust,North West,Dermatology,01/09/2024,2106,930,No,12.7,172
RXH,Sherbourne Nhs Foundation Trust,North East,ENT,01/09/2023,5650,1885,No,12.3,223
RXD,Kingswood Nhs Foundation Trust,South East,Dermatology,01/07/2023,2415,619,No,10.2,49
RXC,Riverside University Hospitals Trust,London,Ophthalmology,01/09/2023,2838,1061,No,13.9,184
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/04/2023,3659,571,No,12.8,99
RXF,Harborview Nhs Foundation Trust,South West,Gastroenterology,01/02/2024,5884,2541,No,13.7,329
RXC,Riverside University Hospitals Trust,London,Cardiology,01/07/2024,6389,2368,No,11.5,434
RXF,Harborview Nhs Foundation Trust,South West,Urology,01/09/2024,3812,938,No,12.9,150
RXH,Sherbourne Nhs Foundation Trust,North East,Cardiology,01/01/2024,5659,2477,No,13.8,197
RXF,Harborview Nhs Foundation Trust,South West,Cardiology,01/04/2024,2353,1057,No,14,31
RXB,Eastfield General Hospitals Trust,East Of England,Urology,01/10/2024,5162,1873,No,14.6,169
RXD,Kingswood Nhs Foundation Trust,South East,Urology,01/01/2023,1619,632,No,14,82
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Urology,01/01/2024,2750,826,No,12.4,19
RXF,Harborview Nhs Foundation Trust,South West,General Surgery,01/07/2024,5815,2037,No,14.1,344
RXD,Kingswood Nhs Foundation Trust,South East,General Surgery,01/06/2024,6040,2455,No,13.5,144
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Cardiology,01/05/2024,2788,1029,No,17.6,197
RXD,Kingswood Nhs Foundation Trust,South East,Gastroenterology,01/12/2024,2599,1068,No,14.8,138
RXE,Vale Of Aldern Nhs Trust,West Midlands,Urology,01/02/2023,2972,573,No,14.9,79
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/06/2023,4021,867,No,12.4,83
RXB,Eastfield General Hospitals Trust,East Of England,T&O,01/05/2024,1320,510,No,18.9,12
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Cardiology,01/08/2024,2892,674,No,12.3,81
