Trust_Code,Trust_Name,Region,Specialty,Reporting_Month,Patients_Waiting,Median_Wait_Weeks,Number_Waiting_Over_18_Weeks,Number_Waiting_Over_52_Weeks,RTT_18wk_Standard_Met
RXH,Sherbourne NHS Foundation Trust,North East,Ophthalmology,2023-08,4607,12.3,1533,224,No
RXF,Harborview NHS Foundation Trust,South West, Cardiology,2024-05,"2,190",,1022,97,No
RXD, Kingswood NHS Foundation Trust ,South East,ENT,2023-12,5526,15.5,1582,76,No
RXB,Eastfield General Hospitals Trust,East of England,Gen Surgery,2023-02,1480,11.9,449,77,No
RXE,Vale of Aldern NHS Trust,West Midlands,trauma & orthopaedics,2024-12,6314,,1884,324,No
RXF,Harborview NHS Foundation Trust,South West, Cardiology,01/08/2024,2469,18.2,749,27,No
RXD,Kingswood NHS Foundation Trust,South East,Trauma and Orthopaedics,2023-04,5342,10.7,2325,224,No
RXF,Harborview NHS Foundation Trust,South West,ophthalmology ,Sep-23,2954,19.8,1179,137,No
RXB,EASTFIELD GENERAL HOSPITALS TRUST,East of England,Cardiology,May-24,1251,14.6,505,32,No
RXA,Northgate NHS Foundation Trust,North West,ent,2024-11,4420,11.5,1595,150,No
RXE,Vale of Aldern NHS Trust,West Midlands,General Surgery,2024-03,2770,13,787,75,No
RXA,Northgate NHS Foundation Trust,North West,Urology,01/09/2024,892,,241,27,No
RXE,Vale of Aldern NHS Trust,West Midlands,trauma & orthopaedics,2024-02,5804,18.2,2520,484,No
RXB,Eastfield General Hospitals Trust,East of England,cardiology,2023-01,1241,13.7,462,93,No
RXH,Sherbourne NHS Foundation Trust,North East,urology ,01/02/2023,"3,798",11.1,1449,124,No
RXH,Sherbourne NHS Foundation Trust,North East,Urology,2024-11,4050,14,1567,234,No
RXE,Vale of Aldern NHS Trust,West Midlands,Cardiology,01/06/2024,4091,17.8,879,83,No
RXE,Vale of Aldern NHS Trust,West Midlands,Gastroenterology,2024-07,4297,11.9,1399,88,No
RXH,Sherbourne NHS Foundation Trust,North East,urology ,Oct-23,3767,,1688,270,No
RXD,Kingswood NHS Foundation Trust,South East,Urology,2024-08,2140,13.3,723,98,No
RXB,Eastfield General Hospitals Trust,East of England,Dermatology ,01/05/2023,2199,20.5,970,23,No
RXB,Eastfield General Hospitals Trust,East of England, Cardiology,2023-03,1241,12.4,347,27,No
RXA,Northgate NHS Foundation Trust,North West,Opthalmology,2024-02,4052,13.9,1141,133,No
RXF, Harborview NHS Foundation Trust ,South West,Trauma & Orthopaedics,2023-03,4822,13.3,2309,98,No
RXE,Vale of Aldern NHS Trust,West Midlands,Gastro,Aug-24,3935,,1109,78,No
RXF,Harborview NHS Foundation Trust,South West,ent,2024-08,4799,19.3,2146,272,No
RXB,Eastfield General Hospitals Trust,East of England,Gen Surgery,2023-08,1585,14,288,4,No
RXH,Sherbourne NHS Foundation Trust,North East,Gen Surgery,2023-08,1064,13.9,343,64,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Urology,01/09/2023,2797,16.6,1411,90,No
RXF,Harborview NHS Foundation Trust,South West,Ophthalmology,01/10/2024,2590,12.8,796,30,No
RXA,Northgate NHS Foundation Trust,North West,Urology,2023-01,710,9.3,264,20,No
RXE,Vale of Aldern NHS Trust,West Midlands,cardiology,01/03/2023,4091,16.7,977,115,No
RXE,Vale of Aldern NHS Trust,West Midlands,ophthalmology ,01/08/2023,2309,19.8,972,112,No
RXA,Northgate NHS Foundation Trust,North West,Ear Nose and Throat,Mar-23,4113,9.1,902,67,No
RXA,Northgate NHS Foundation Trust,North West,E.N.T.,2024-10,4553,18.3,1288,87,No
RXD,Kingswood NHS Foundation Trust,South East,General Surgery,2023-12,6143,17.7,1351,-229,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Dermatology ,2023-08,3038,11.9,828,139,No
RXH,Sherbourne NHS Foundation Trust,North East,General Surgery,2024-03,1178,10.6,223,9,No
RXE,VALE OF ALDERN NHS TRUST,West Midlands,ent,May-23,2979,15.5,1514,80,No
RXF,Harborview NHS Foundation Trust,South West,Urology,2024-01,3542,15.7,1255,197,No
RXF,Harborview NHS Foundation Trust,South West,Cardiology,Dec-24,2186,18.9,613,17,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Gastroenterology ,01/12/2024,2851,17,633,85,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,T&O,2023-07,4018,12,1013,65,No
RXB,Eastfield General Hospitals Trust,East of England,Dermatology ,Jul-23,2483,2.7,842,97,No
RXE,Vale of Aldern NHS Trust,West Midlands,Opthalmology,Oct-23,2451,11.8,622,93,No
RXC,Riverside University Hospitals Trust,London,Urology,2023-03,5823,12.7,2833,196,No
RXF,Harborview NHS Foundation Trust,South West,Dermatology ,2023-03,2793,11.2,887,112,No
RXG,MEADOWBROOK UNIVERSITY HOSPITALS TRUST,Yorkshire and the Humber,Urology,Jun-24,2918,19.4,1061,217,No
RXA,Northgate NHS Foundation Trust,North West,Gen Surgery,01/05/2024,"1,500",12.1,706,136,No
RXC,Riverside University Hospitals Trust,London,Urology,2024-07,6195,12,3334,402,No
RXH,Sherbourne NHS Foundation Trust,North East,ent,2024-01,5551,12.8,1868,240,No
RXD,Kingswood NHS Foundation Trust,South East,Gastro,2023-11,2416,13.8,572,151,No
RXD,Kingswood NHS Foundation Trust,South East,E.N.T.,2023-08,6004,11.2,1309,141,No
RXB,Eastfield General Hospitals Trust,East of England,urology ,2024-02,4796,13.9,2086,359,No
RXA,Northgate NHS Foundation Trust,North West,urology ,2023-02,1057,13.6,514,91,No
RXF,Harborview NHS Foundation Trust,South West,gastroenterology,2024-09,5977,14.9,2191,267,No
RXE,Vale of Aldern NHS Trust,West Midlands, Cardiology,2024-11,4157,17.6,813,66,No
RXA, Northgate NHS Foundation Trust ,North West,Cardiology,2023-08,5648,12,999,206,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Opthalmology,Feb-24,5507,18.1,1830,-97,No
RXC,Riverside University Hospitals Trust,London,Cardiology,Jan-24,6282,20.5,1215,129,No
RXD,KINGSWOOD NHS FOUNDATION TRUST,South East,Trauma and Orthopaedics,2024-01,5415,15.6,1144,236,No
RXD,Kingswood NHS Foundation Trust,South East,general surgery,2024-10,5782,15.9,2193,232,No
RXA,NORTHGATE NHS FOUNDATION TRUST,North West,Dermatology,2024-06,2472,15.4,1040,262,No
RXA,Northgate NHS Foundation Trust,North West,T&O,2023-08,2945,10.3,1443,51,No
RXB,Eastfield General Hospitals Trust,East of England,Dermatology,2023-06,2246,15.5,606,85,No
RXC,Riverside University Hospitals Trust,London,Urology,2024-03,5971,15.5,2275,211,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Trauma & Orthopaedics,01/04/2023,4267,10.7,1465,34,No
RXF,Harborview NHS Foundation Trust,South West,Opthalmology,2024-11,2577,17.4,565,13,No
RXE,Vale of Aldern NHS Trust,West Midlands,ENT,2024-02,3299,14.9,1139,79,No
RXD,Kingswood NHS Foundation Trust,South East,Urology,01/02/2023,1798,11.3,793,88,No
RXA,Northgate NHS Foundation Trust,North West,Opthalmology,01/12/2023,4146,16.3,1929,176,No
RXE,Vale of Aldern NHS Trust,West Midlands,ent,2023-09,2933,15.2,1050,83,No
RXD,Kingswood NHS Foundation Trust,South East,E.N.T.,Sep-23,5711,13,2705,250,No
RXC,Riverside University Hospitals Trust,London,Trauma & Orthopaedics,01/10/2024,4737,14.6,1691,320,No
RXH,Sherbourne NHS Foundation Trust,North East,gastroenterology,2024-08,"1,733",8.6,531,88,No
RXF,Harborview NHS Foundation Trust,South West,Urology,2023-09,3472,4.5,1396,65,No
RXH,Sherbourne NHS Foundation Trust,North East,Ophthalmology,2024-08,4370,13.8,1503,298,No
RXE,Vale of Aldern NHS Trust,West Midlands,Ophthalmology,01/08/2024,2703,20.8,990,86,No
RXD,Kingswood NHS Foundation Trust,South East,Trauma & Orthopaedics,01/12/2024,5652,13.9,2193,367,No
RXH,Sherbourne NHS Foundation Trust,North East,General Surgery,2023-03,1109,,475,9,No
RXB, Eastfield General Hospitals Trust ,East of England,Opthalmology,2023-01,1675,16.8,916,98,No
RXH,Sherbourne NHS Foundation Trust,North East,Gastroenterology,2023-06,1630,13.6,580,52,No
RXE,Vale of Aldern NHS Trust,West Midlands,dermatology,2024-06,4986,7.3,2281,254,No
RXB,Eastfield General Hospitals Trust,East of England,E.N.T.,01/12/2024,4986,15.6,2110,242,No
RXB,Eastfield General Hospitals Trust,East of England,Gen Surgery,Jan-24,"1,325",14,395,33,No
RXE,Vale of Aldern NHS Trust,West Midlands,General Surgery ,2024-08,2981,11,670,111,No
RXE,Vale of Aldern NHS Trust,West Midlands,ENT,Oct-23,3220,14.1,532,93,No
RXH,Sherbourne NHS Foundation Trust,North East,Gastroenterology,2023-06,1630,13.6,580,52,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Urology,Jul-24,"3,246",14.1,1250,223,No
RXE,Vale of Aldern NHS Trust,West Midlands, Cardiology,May-24,4501,14.4,1927,-139,No
RXF,Harborview NHS Foundation Trust,South West,ENT,01/11/2023,4856,5.9,1914,344,No
RXD,KINGSWOOD NHS FOUNDATION TRUST,South East, Cardiology,01/06/2023,2427,8.1,730,75,No
RXA,Northgate NHS Foundation Trust,North West,ent,2024-02,4267,16.4,1357,146,No
RXE,Vale of Aldern NHS Trust,West Midlands,Trauma and Orthopaedics,2024-10,6288,18.4,1506,192,No
RXH,Sherbourne NHS Foundation Trust,North East,Trauma & Orthopaedics,2023-09,1380,12.7,551,67,No
RXH,Sherbourne NHS Foundation Trust,North East,Urology,01/07/2024,3971,17.6,1102,74,No
RXB,Eastfield General Hospitals Trust,East of England,urology ,2024-06,4659,12.2,1703,238,No
RXC, Riverside University Hospitals Trust ,London,Dermatology,2024-07,3768,9.9,1805,362,No
RXF, Harborview NHS Foundation Trust ,South West,Urology,Jan-23,3808,15.9,916,95,No
RXD,Kingswood NHS Foundation Trust,South East,Gen Surgery,Oct-23,5761,10.3,2135,265,No
RXE,Vale of Aldern NHS Trust,West Midlands,Derm,01/04/2024,5067,14.6,1121,141,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,Jul-23,2847,12.5,1313,176,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,01/12/2023,2760,12.3,709,130,No
RXD,Kingswood NHS Foundation Trust,South East,trauma & orthopaedics,2023-03,4992,12.6,1550,322,No
RXE,Vale of Aldern NHS Trust,West Midlands,Trauma & Orthopaedics,2024-04,5990,13.7,2770,453,No
RXF,Harborview NHS Foundation Trust,South West,Gen Surgery,Apr-24,5406,15.3,1128,141,No
RXB,Eastfield General Hospitals Trust,,Gen Surgery,01/06/2023,1199,14.5,505,62,No
RXA,Northgate NHS Foundation Trust,North West,General Surgery ,2023-05,1650,12.5,764,86,No
RXH,Sherbourne NHS Foundation Trust,North East,Trauma & Orthopaedics,2023-05,911,5.6,379,102,No
